Sigma,E_N,Encoded errors,Solved errors,BER
1.0,0.0,24.0,26.0,0.40625
1.0,0.0,11.0,3.0,0.046875
1.0,0.0,23.0,11.0,0.171875
1.0,0.0,27.0,24.0,0.375
1.0,0.0,21.0,21.0,0.328125
1.0,0.0,20.0,14.0,0.21875
1.0,0.0,21.0,28.0,0.4375
1.0,0.0,13.0,9.0,0.140625
1.0,0.0,21.0,18.0,0.28125
1.0,0.0,26.0,22.0,0.34375
1.0,0.0,21.0,15.0,0.234375
1.0,0.0,23.0,21.0,0.328125
1.0,0.0,24.0,26.0,0.40625
1.0,0.0,21.0,17.0,0.265625
1.0,0.0,20.0,14.0,0.21875
1.0,0.0,24.0,30.0,0.46875
1.0,0.0,15.0,4.0,0.0625
1.0,0.0,25.0,12.0,0.1875
1.0,0.0,22.0,21.0,0.328125
1.0,0.0,12.0,0.0,0.0
1.0,0.0,18.0,13.0,0.203125
1.0,0.0,21.0,25.0,0.390625
1.0,0.0,20.0,16.0,0.25
1.0,0.0,22.0,21.0,0.328125
1.0,0.0,17.0,6.0,0.09375
1.0,0.0,14.0,2.0,0.03125
1.0,0.0,17.0,8.0,0.125
1.0,0.0,9.0,0.0,0.0
1.0,0.0,18.0,15.0,0.234375
1.0,0.0,22.0,19.0,0.296875
1.0,0.0,21.0,18.0,0.28125
1.0,0.0,19.0,22.0,0.34375
1.0,0.0,23.0,24.0,0.375
1.0,0.0,22.0,25.0,0.390625
1.0,0.0,19.0,17.0,0.265625
1.0,0.0,22.0,25.0,0.390625
1.0,0.0,27.0,31.0,0.484375
1.0,0.0,19.0,13.0,0.203125
1.0,0.0,22.0,8.0,0.125
1.0,0.0,26.0,27.0,0.421875
1.0,0.0,19.0,24.0,0.375
1.0,0.0,27.0,33.0,0.515625
1.0,0.0,21.0,18.0,0.28125
1.0,0.0,15.0,16.0,0.25
1.0,0.0,16.0,22.0,0.34375
1.0,0.0,28.0,20.0,0.3125
1.0,0.0,18.0,5.0,0.078125
1.0,0.0,26.0,27.0,0.421875
1.0,0.0,16.0,9.0,0.140625
1.0,0.0,21.0,14.0,0.21875
1.0,0.0,21.0,20.0,0.3125
